Report Date,ASIN,Ordered Product Sales,Total Order Items,Sessions - Total,Page Views - Total,Ad Impressions,Ad Clicks,Ad Spend,Ad Sales (7-day),Ad Orders (7-day),Targeted Keyword,Keyword Ad Impressions,Keyword Ad Clicks,Keyword Ad Spend,Keyword Ad Sales (7-day),Keyword Ad Orders (7-day),Estimated Profit,Current Inventory,Average Review Score,Customer Acquisition Cost,Lifetime Value Estimate
2025-06-10,B00EXAMPLE1,"155.00",5,120,240,5000,50,"25.00","75.00",2,steel tumbler,3000,30,"15.00","45.00",1,"31.00",540,4.5,"12.50","155.00"
2025-06-10,B00EXAMPLE3,"95.00",2,75,130,3800,33,"16.50","45.00",1,pilates equipment,1520,13,"6.60","18.00",0,"17.00",580,4.0,"16.20","125.00"
2025-03-15,B00EXAMPLE1,"170.00",6,130,260,5300,58,"29.00","85.00",3,reusable bottle,2650,29,"14.50","42.50",1,"35.00",550,4.6,"11.00","160.00"
2025-03-15,B00EXAMPLE2,"240.00",8,190,330,7800,85,"42.50","165.00",5,wireless headphones,4680,51,"25.50","99.00",3,"60.00",340,4.3,"10.50","190.00"
2025-01-05,B00EXAMPLE1,"190.00",7,150,280,6000,65,"32.50","100.00",4,eco water bottle,3600,39,"19.50","60.00",2,"40.00",560,4.5,"10.00","170.00"
2025-01-05,B00EXAMPLE2,"250.00",9,200,350,8000,90,"45.00","180.00",6,noise cancelling HPs,3200,36,"18.00","72.00",2,"65.00",350,4.2,"9.50","200.00"
2025-01-06,B00EXAMPLE3,"110.00",3,90,160,4300,40,"20.00","60.00",2,yoga mat pro,2150,20,"10.00","30.00",1,"22.00",570,4.1,"15.00","135.00"
2025-12-20,B00EXAMPLE1,"200.00",8,160,300,6200,70,"35.00","110.00",4,steel tumbler,3100,35,"17.50","55.00",2,"45.00",570,4.6,"9.00","180.00"
2025-12-20,B00EXAMPLE2,"270.00",10,220,370,8500,100,"50.00","200.00",7,bluetooth earbuds,5100,60,"30.00","120.00",4,"70.00",360,4.3,"9.00","210.00"
2025-11-10,B00EXAMPLE1,"160.75",5,125,255,5100,53,"26.50","78.50",2,reusable bottle,2040,21,"10.60","31.40",1,"31.15",580,4.5,"12.60","158.00"
2025-11-10,B00EXAMPLE3,"80.00",2,70,120,3500,30,"15.00","40.00",1,exercise mat thick,1750,15,"7.50","20.00",0,"15.00",560,3.9,"17.00","115.00"
2025-10-11,B00EXAMPLE1,"155.00",5,122,245,5300,54,"27.00","82.00",3,eco water bottle,2650,27,"13.50","41.00",1,"31.00",450,4.5,"9.00","160.00"
2025-10-11,B00EXAMPLE2,"235.00",8,192,325,7850,87,"43.50","165.00",5,wireless headphones,4710,52,"26.10","99.00",3,"59.00",225,4.3,"8.70","195.00"
2025-10-12,B00EXAMPLE3,"95.50",3,82,145,4100,36,"18.00","53.00",1,pilates equipment,2460,22,"10.80","31.80",1,"19.50",590,4.0,"18.00","125.00"
2025-11-05,B00EXAMPLE1,"170.00",6,130,260,5700,58,"29.00","90.00",3,steel tumbler,2280,23,"11.60","36.00",1,"35.00",440,4.6,"9.67","170.00"
2025-11-05,B00EXAMPLE2,"245.00",9,198,340,7900,89,"44.50","175.00",6,noise cancelling HPs,4740,53,"26.70","105.00",4,"61.00",210,4.2,"7.42","200.00"
2025-11-06,B00EXAMPLE4,"75.00",10,150,280,3500,70,"17.50","60.00",8,organic pet food,1750,35,"8.75","30.00",4,"15.00",700,4.1,"2.19","90.00"
2025-12-01,B00EXAMPLE1,"190.00",7,145,290,6100,66,"33.00","105.00",4,reusable bottle,3660,40,"19.80","63.00",2,"42.00",420,4.5,"8.25","185.00"
2025-12-01,B00EXAMPLE3,"100.00",3,88,160,4250,39,"19.50","58.00",2,yoga mat pro,1700,16,"7.80","23.20",1,"21.00",575,4.0,"9.75","130.00"
2025-12-02,B00EXAMPLE5,"350.00",3,90,180,9000,45,"50.00","250.00",2,security cam wifi,5400,27,"30.00","150.00",1,"75.00",150,4.8,"25.00","450.00"
2025-01-15,B00EXAMPLE1,"210.00",8,160,310,6500,72,"36.00","120.00",5,eco water bottle,2600,29,"14.40","48.00",2,"48.00",400,4.6,"7.20","200.00"
2025-01-15,B00EXAMPLE2,"280.00",10,230,380,8800,110,"55.00","220.00",8,bluetooth earbuds,5280,66,"33.00","132.00",5,"75.00",180,4.3,"6.88","250.00"
2025-01-16,B00EXAMPLE4,"80.00",11,160,300,3700,75,"18.75","65.00",9,dog treats natural,2220,45,"11.25","39.00",5,"18.00",650,4.1,"2.08","95.00"
2025-02-10,B00EXAMPLE1,"175.50",6,135,270,5750,60,"30.00","95.00",3,steel tumbler,3450,36,"18.00","57.00",2,"37.50",380,4.5,"10.00","175.00"
2025-02-10,B00EXAMPLE3,"110.00",4,95,170,4400,42,"21.00","62.00",2,exercise mat thick,1760,17,"8.40","24.80",1,"25.00",550,4.0,"10.50","140.00"
2025-02-11,B00EXAMPLE5,"380.00",4,100,200,9500,50,"55.00","280.00",3,smart home camera,5700,30,"33.00","168.00",2,"80.00",130,4.8,"18.33","480.00"
2025-03-01,B00EXAMPLE1,"195.00",7,150,300,6200,68,"34.00","110.00",4,reusable bottle,2480,27,"13.60","44.00",2,"43.00",360,4.6,"8.50","190.00"
2025-03-01,B00EXAMPLE2,"260.00",9,210,360,8400,98,"49.00","190.00",7,wireless headphones,5040,59,"29.40","114.00",4,"68.00",150,4.2,"7.00","230.00"
2025-03-02,B00EXAMPLE4,"85.00",12,170,320,3900,80,"20.00","70.00",10,puppy training snacks,2340,48,"12.00","42.00",6,"20.00",600,4.1,"2.00","100.00"
2025-10-15,B00EXAMPLE1,"145.00",4,110,210,4800,45,"22.50","70.00",2,eco water bottle,2880,27,"13.50","42.00",1,"29.00",590,4.4,"11.25","150.00"
2025-10-15,B00EXAMPLE2,"200.00",6,160,280,6900,72,"36.00","130.00",3,noise cancelling HPs,2760,29,"14.40","52.00",1,"48.00",380,4.2,"12.00","170.00"
2025-09-01,B00EXAMPLE1,"130.25",3,100,190,4600,40,"20.00","60.00",1,steel tumbler,1840,16,"8.00","24.00",0,"25.25",610,4.4,"20.00","140.00"
2025-09-01,B00EXAMPLE3,"70.00",1,60,110,3200,25,"12.50","30.00",1,pilates equipment,1920,15,"7.50","18.00",1,"10.00",570,3.8,"12.50","100.00"
2025-08-10,B00EXAMPLE1,"160.00",5,120,240,5200,52,"26.00","80.00",2,reusable bottle,3120,31,"15.60","48.00",1,"32.00",630,4.5,"13.00","160.00"
2025-08-10,B00EXAMPLE2,"220.00",7,180,310,7600,80,"40.00","150.00",4,bluetooth earbuds,3040,32,"16.00","60.00",2,"50.00",400,4.3,"10.00","190.00"
2025-07-05,B00EXAMPLE1,"170.50",6,130,255,5400,55,"27.50","85.00",3,eco water bottle,2700,27,"13.75","42.50",1,"34.50",650,4.5,"9.17","165.00"
2025-07-05,B00EXAMPLE3,"85.00",2,75,130,3600,32,"16.00","45.00",1,yoga mat pro,2160,19,"9.60","27.00",1,"16.00",580,3.9,"16.00","110.00"
2025-06-15,B00EXAMPLE1,"180.00",6,140,270,5800,60,"30.00","95.00",3,steel tumbler,2320,24,"12.00","38.00",1,"38.00",670,4.6,"10.00","175.00"
2025-06-15,B00EXAMPLE2,"250.00",9,200,350,8200,92,"46.00","180.00",6,wireless headphones,4920,55,"27.60","108.00",4,"60.00",420,4.2,"7.67","220.00"
2025-05-20,B00EXAMPLE1,"150.00",5,115,220,5000,50,"25.00","75.00",2,reusable bottle,3000,30,"15.00","45.00",1,"30.00",690,4.4,"12.50","155.00"
2025-05-20,B00EXAMPLE3,"90.90",3,80,140,3800,35,"17.50","50.00",1,exercise mat thick,1520,14,"7.00","20.00",0,"18.40",590,3.8,"17.50","120.00"
2025-04-10,B00EXAMPLE4,"60.00",8,120,220,3000,60,"15.00","45.00",6,organic pet food,1800,36,"9.00","27.00",4,"12.00",750,4.0,"2.50","80.00"
2025-04-10,B00EXAMPLE5,"320.00",2,80,150,8500,40,"45.00","220.00",1,indoor pet monitor,3400,16,"18.00","88.00",0,"65.00",180,4.7,"45.00","420.00"
2025-05-15,B00EXAMPLE1,"165.00",5,128,258,5250,56,"28.00","83.00",3,eco water bottle,2625,28,"14.00","41.50",1,"33.00",530,4.5,"9.33","162.00"
2025-05-15,B00EXAMPLE2,"230.00",8,188,318,7650,83,"41.50","158.00",5,noise cancelling HPs,4590,50,"24.90","94.80",3,"55.00",335,4.3,"8.30","188.00"
2025-05-16,B00EXAMPLE3,"92.00",3,81,142,4050,35,"17.50","51.00",1,pilates equipment,2025,17,"8.75","25.50",0,"18.50",585,4.0,"17.50","122.00"
2025-02-20,B00EXAMPLE4,"70.00",9,140,260,3300,68,"17.00","55.00",7,dog treats natural,1980,41,"10.20","33.00",4,"14.00",720,4.1,"2.43","88.00"
2025-02-20,B00EXAMPLE5,"340.00",3,85,170,8800,43,"48.00","240.00",2,security cam wifi,3520,17,"19.20","96.00",1,"70.00",160,4.8,"24.00","440.00"
2025-12-25,B00EXAMPLE4,"90.00",12,180,340,4200,90,"22.50","75.00",10,puppy training snacks,2520,54,"13.50","45.00",6,"22.50",680,4.2,"2.25","110.00"
2025-12-25,B00EXAMPLE5,"400.00",4,110,220,9800,55,"60.00","300.00",3,smart home camera,5880,33,"36.00","180.00",2,"90.00",120,4.9,"20.00","500.00"
2025-11-15,B00EXAMPLE3,"102.50",3,90,165,4300,40,"20.00","60.00",2,yoga mat pro,2580,24,"12.00","36.00",1,"22.50",565,4.0,"10.00","135.00"
2025-11-15,B00EXAMPLE4,"78.00",10,155,290,3600,72,"18.00","62.00",8,organic pet food,1440,29,"7.20","24.80",3,"16.00",680,4.1,"2.25","92.00"
2025-07-20,B00EXAMPLE4,"65.00",9,130,240,3100,65,"16.25","50.00",7,dog treats natural,1860,39,"9.75","30.00",4,"13.00",740,4.0,"2.32","85.00"
2025-07-20,B00EXAMPLE5,"330.00",3,82,160,8600,41,"46.00","230.00",2,indoor pet monitor,5160,25,"27.60","138.00",1,"68.00",170,4.7,"23.00","430.00"
2025-10-30,B00EXAMPLE3,"75.00",2,65,120,3400,30,"15.00","38.00",1,exercise mat thick,1360,12,"6.00","15.20",0,"12.00",575,3.9,"15.00","105.00"
2025-10-30,B00EXAMPLE4,"50.00",7,100,180,2800,50,"12.50","35.00",5,puppy training snacks,1680,30,"7.50","21.00",3,"8.00",780,3.9,"2.50","70.00"
2025-08-30,B00EXAMPLE4,"55.00",8,110,200,2900,55,"13.75","40.00",6,organic pet food,1160,22,"5.50","16.00",2,"10.00",790,3.9,"2.29","75.00"
2025-08-30,B00EXAMPLE5,"300.00",2,70,130,8000,35,"40.00","200.00",1,security cam wifi,4800,21,"24.00","120.00",1,"50.00",200,4.6,"40.00","400.00"
2025-01-01,B00EXAMPLE3,"115.00",4,100,180,4500,45,"22.50","68.00",3,pilates equipment,2700,27,"13.50","40.80",2,"27.00",540,4.1,"7.50","145.00"
2025-01-01,B00EXAMPLE4,"82.00",11,165,310,3800,78,"19.50","67.00",9,dog treats natural,2280,47,"11.70","40.20",5,"17.00",630,4.1,"2.17","98.00"
2025-01-02,B00EXAMPLE5,"390.00",4,105,210,9600,52,"56.00","290.00",3,smart home camera,3840,21,"22.40","116.00",1,"85.00",125,4.8,"18.67","490.00"
2025-03-01,B00EXAMPLE4,"72.00",10,145,270,3400,70,"17.50","58.00",8,puppy training snacks,2040,42,"10.50","34.80",5,"15.00",730,4.0,"2.19","90.00"
2025-03-01,B00EXAMPLE5,"325.00",3,81,155,8550,42,"45.50","225.00",2,indoor pet monitor,5130,25,"27.30","135.00",1,"66.00",175,4.7,"22.75","425.00"
2025-11-20,B00EXAMPLE4,"68.00",9,135,250,3200,66,"16.50","52.00",7,organic pet food,1280,26,"6.60","20.80",3,"13.50",760,4.0,"2.36","86.00"
2025-11-20,B00EXAMPLE5,"310.00",2,78,145,8300,38,"42.00","210.00",1,security cam wifi,4980,23,"25.20","126.00",1,"60.00",190,4.6,"42.00","410.00"
2025-06-01,B00EXAMPLE4,"45.00",6,90,160,2700,45,"11.25","30.00",4,dog treats natural,1620,27,"6.75","18.00",2,"7.00",800,3.8,"2.81","65.00"
2025-06-01,B00EXAMPLE5,"290.00",2,65,120,7800,33,"38.00","190.00",1,smart home camera,3120,13,"15.20","76.00",0,"48.00",220,4.5,"38.00","390.00"
2025-04-15,B00EXAMPLE1,"125.00",3,95,180,4400,38,"19.00","55.00",1,steel tumbler,2640,23,"11.40","33.00",1,"23.00",710,4.3,"19.00","135.00"
2025-04-15,B00EXAMPLE2,"190.00",5,150,260,6600,68,"34.00","120.00",3,wireless headphones,2640,27,"13.60","48.00",1,"40.00",450,4.1,"11.33","160.00"
2025-04-16,B00EXAMPLE3,"65.00",1,55,100,3000,22,"11.00","25.00",1,yoga mat pro,1800,13,"6.60","15.00",1,"8.00",600,3.7,"11.00","95.00"
2025-03-10,B00EXAMPLE4,"40.00",5,80,150,2500,40,"10.00","25.00",3,puppy training snacks,1500,24,"6.00","15.00",2,"6.00",820,3.8,"3.33","60.00"
2025-03-10,B00EXAMPLE5,"280.00",1,60,110,7500,30,"35.00","180.00",1,indoor pet monitor,4500,18,"21.00","108.00",1,"45.00",240,4.5,"35.00","380.00"
